,Cloudiness (%),Humidity (%),Latitude,Name,Temperature (F),Wind Speed (mph)
0,75,58,16.38,champerico,303.15,1.0
1,75,57,-53.16,punta arenas,282.15,7.7
2,20,47,13.98,goure,300.679,3.01
3,0,72,-26.98,san patricio,302.329,1.41
4,8,63,-1.8,prainha,304.229,1.91
5,75,94,-22.97,arraial do cabo,296.8,3.1
6,12,91,60.14,nanortalik,276.729,13.56
7,75,45,-54.81,ushuaia,282.15,6.2
8,0,60,-2.92,itarema,300.929,8.06
9,40,35,-45.87,comodoro rivadavia,294.15,5.7
10,24,83,69.49,talnakh,281.579,5.56
11,75,69,58.81,fort nelson,276.15,1.5
12,75,72,42.65,albany,288.68,2.1
13,88,100,72.79,upernavik,274.329,7.01
14,92,97,50.59,bichura,275.079,2.51
15,92,29,-14.56,nyimba,301.529,3.31
16,32,100,-23.12,rikitea,295.429,1.21
17,44,71,-37.83,mount gambier,280.829,1.86
18,100,89,65.58,lavrentiya,280.229,12.06
19,75,69,63.75,iqaluit,275.15,4.6
20,0,82,-33.59,port alfred,291.079,12.76
21,0,100,44.51,fort-shevchenko,286.029,2.16
22,36,97,25.52,tura,296.679,1.16
23,32,44,-46.43,mar del plata,290.229,6.01
24,40,88,33.08,camacha,296.29,6.2
25,68,99,66.77,zhigansk,272.429,1.86
26,8,75,59.1,vao,277.629,3.36
27,8,50,-32.25,dubbo,284.15,3.1
28,0,91,-23.58,bluff,290.179,2.96
29,75,98,71.03,mehamn,275.15,4.1
30,20,78,31.8,gizo,299.15,2.1
31,36,100,50.68,severo-kurilsk,280.729,3.46
32,90,70,30.04,nome,300.28,3.1
33,32,14,-26.02,tsabong,294.029,5.51
34,36,39,-20.73,mount isa,290.15,2.1
35,75,52,32.3,rincon,305.55,3.6
36,92,100,-0.6,hithadhoo,299.529,8.66
37,1,4,43.97,saint anthony,293.17,2.1
38,75,62,33.19,avera,303.07,2.1
39,75,79,18.43,la romana,302.73,2.1
40,75,62,-37.04,cabrero,288.15,7.7
41,40,79,22.92,cidra,303.15,3.1
42,90,55,55.74,thompson,274.15,6.2
43,24,100,-33.64,busselton,287.429,9.96
44,0,80,-33.21,jamestown,273.479,2.31
45,75,81,-41.13,san carlos de bariloche,281.15,7.2
46,36,96,68.75,cherskiy,272.329,2.51
47,40,66,-2.98,uarini,305.15,1.5
48,0,89,45.76,mandalgovi,270.079,5.16
49,0,91,14.9,sao filipe,299.729,7.76
50,75,81,63.84,grindavik,280.15,14.4
51,20,46,43.26,hamilton,294.55,8.7
52,8,100,11.67,port blair,301.729,1.91
53,20,77,-42.88,hobart,277.15,5.7
54,90,59,62.45,yellowknife,276.15,10.8
55,32,100,13.72,sabang,297.479,2.06
56,24,88,-34.42,hermanus,281.029,1.06
57,90,75,37.29,campbell,290.05,3.1
58,0,87,-33.8,robertson,275.579,0.86
59,40,71,19.71,hilo,298.69,2.1
60,20,100,-34.72,port lincoln,280.979,2.76
61,40,93,41.96,khani,288.15,1.0
62,0,59,-33.02,east london,289.15,6.7
63,80,97,61.99,paamiut,277.429,7.06
64,0,78,43.78,menton,294.14,2.1
65,44,84,71.97,saskylakh,269.479,4.76
66,0,36,36.54,sarakhs,291.15,5.1
67,75,33,-20.25,praia,304.46,1.0
68,88,98,52.69,kromy,283.429,4.21
69,0,86,-20.77,roebourne,286.479,1.61
70,40,69,69.22,ilulissat,275.15,7.7
71,20,79,-35.17,ahipara,286.479,0.71
72,0,100,-5.56,kimbe,298.579,5.21
73,20,66,20.71,ixtapa,304.15,3.6
74,80,99,15.34,vaini,293.879,1.16
75,40,68,-19.98,cap malheureux,295.15,2.6
76,20,83,17.01,salalah,298.15,1.0
77,75,86,60.72,whitehorse,276.15,2.6
78,20,78,28.66,los llanos de aridane,297.15,7.2
79,75,64,45.36,saint-philippe,293.16,4.1
80,90,51,39.95,kodiak,288.15,8.2
81,0,22,22.68,taoudenni,300.979,3.01
82,80,100,4.42,tabou,298.979,5.86
83,0,92,-8.49,merauke,296.479,7.51
84,0,93,-34.67,kiama,282.15,3.1
85,90,73,78.22,longyearbyen,270.15,7.7
86,48,75,-14.8,nova olimpia,303.779,1.71
87,40,64,65.61,tasiilaq,277.15,6.7
88,76,89,73.51,dikson,277.679,5.21
89,1,74,60.79,bethel,287.55,6.7
90,12,100,-16.48,faanui,298.379,2.51
91,0,93,-4.22,ambunti,297.779,0.86
92,0,100,77.48,qaanaaq,262.629,3.36
93,8,65,-46.19,mataura,285.329,9.76
94,40,36,28.39,lazaro cardenas,300.15,3.6
95,8,100,3.07,butaritari,302.629,3.76
96,40,61,-0.74,puerto ayora,299.15,9.3
97,40,66,-33.93,cape town,286.15,2.6
98,80,100,10.57,kavaratti,299.629,3.06
99,0,77,-29.95,coquimbo,288.15,5.7
100,36,93,17.41,tabuk,292.429,1.01
101,40,78,11.28,bubaque,301.15,5.7
102,64,92,7.26,danane,296.329,2.91
103,75,86,68.22,aklavik,272.99,4.6
104,40,100,35.73,hasaki,288.15,0.5
105,0,67,48.81,bulgan,266.129,2.26
106,64,100,-9.8,atuona,299.479,5.01
107,24,77,46.45,vostok,271.079,0.86
108,48,97,13.59,sisophon,296.229,1.21
109,48,94,69.38,leningradskiy,278.179,9.96
110,90,84,22.08,kapaa,300.44,7.7
111,0,100,31.87,haimen,291.979,4.81
112,56,82,-28.77,richards bay,293.429,3.26
113,75,88,-4.77,loandjili,297.15,2.6
114,75,88,2.55,buloh kasap,299.15,1.0
115,40,64,-21.21,avarua,297.15,1.5
116,1,12,64.86,college,278.86,4.1
117,0,84,62.49,timra,275.71,1.0
118,20,45,4.27,grand-santi,306.329,1.16
119,75,100,70.86,berlevag,274.07,4.1
120,92,100,33.93,katsuura,291.829,2.16
121,0,79,51.29,chadan,271.729,1.11
122,0,65,-26.65,luderitz,289.229,9.51
123,32,82,9.66,san carlos,302.929,2.26
124,8,49,41.42,saldanha,291.879,2.81
125,0,59,37.32,mardin,289.15,4.1
126,32,94,50.56,husavik,277.229,6.11
127,40,68,-20.34,bambous virieux,295.15,2.6
128,12,100,-0.92,padang,300.179,0.61
129,80,100,65.42,maniitsoq,274.679,6.46
130,88,58,-34.53,bredasdorp,286.15,3.6
131,0,24,18.22,abha,295.67,5.1
132,92,94,6.5,okitipupa,297.629,1.16
133,0,24,-30.97,carnarvon,279.529,4.31
134,92,100,0.53,thinadhoo,300.429,9.41
135,75,63,-11.0,riberalta,306.15,3.1
136,92,73,56.82,yurginskoye,280.979,4.56
137,0,65,-8.93,ulenje,286.229,1.76
138,75,81,48.41,thunder bay,281.15,3.1
139,0,38,-12.59,puerto maldonado,308.929,1.66
140,20,94,10.24,esperance,298.15,3.1
141,75,66,54.78,smithers,284.15,1.5
142,80,83,10.31,bauchi,295.829,1.61
143,20,100,67.67,sorland,273.15,1.0
144,92,100,48.65,bonavista,283.729,7.51
145,0,76,49.08,dacice,286.15,6.2
146,40,41,8.96,lebu,289.15,4.1
147,0,94,59.36,okhotsk,277.629,7.36
148,0,21,26.33,buraydah,305.15,5.1
149,0,61,35.3,abu samrah,291.929,3.31
150,48,100,-0.86,sorong,299.979,2.66
151,68,88,69.3,deputatskiy,270.179,6.51
152,0,22,20.52,atar,301.329,2.61
153,24,100,42.34,kyzyl-suu,280.779,2.41
154,92,100,-41.87,ancud,283.979,3.56
155,56,84,10.67,carupano,301.929,4.21
156,80,47,-14.66,menongue,295.979,1.31
157,0,34,39.12,kitob,291.15,4.1
158,0,55,-3.73,caucaia,303.15,9.3
159,44,72,-31.43,port macquarie,289.15,3.1
160,0,74,-15.5,guanay,297.079,0.16
161,0,62,5.16,kourou,305.15,6.2
162,44,72,43.65,erenhot,273.629,4.11
163,75,93,59.58,ola,284.15,4.0
164,0,48,33.6,tabas,285.029,1.36
165,32,77,26.12,supaul,299.479,2.31
166,64,98,8.87,alangulam,295.429,1.26
167,0,78,49.06,malchevskaya,279.329,2.11
168,90,82,37.46,half moon bay,290.92,2.1
169,40,93,-20.01,bowen,289.15,1.0
170,88,98,-36.62,santa rosa,291.029,3.66
171,0,71,-25.41,taltal,292.979,1.76
172,75,94,5.28,victoria,298.66,1.61
173,0,58,36.21,neyshabur,283.329,3.11
174,90,93,21.35,makakilo city,299.7,3.6
175,75,71,-40.57,osorno,287.15,6.2
176,40,62,6.8,georgetown,305.15,6.2
177,90,86,69.44,tuktoyaktuk,272.15,6.7
178,0,14,-16.48,francisco sa,309.15,2.1
179,40,80,68.56,stokmarknes,274.45,1.5
180,20,59,39.62,vardo,295.63,2.6
181,75,74,64.17,nuuk,276.15,4.6
182,92,93,-6.32,panguna,296.229,2.21
183,80,61,37.17,sitka,292.229,9.41
184,48,85,18.92,luvianos,294.229,1.11
185,100,74,0.61,muisne,299.379,3.71
186,24,66,25.33,manama,303.93,2.6
187,88,63,-11.73,mwinilunga,294.429,0.96
188,92,95,59.94,kosa,278.479,4.76
189,44,100,-16.78,tevaitoa,298.079,2.56
190,75,70,-7.74,rodrigues alves,302.15,1.5
191,20,74,63.59,mayo,275.15,2.1
192,75,59,55.1,la ronge,275.15,4.6
193,75,75,55.78,spirit river,278.15,1.5
194,40,55,-2.03,olinda,303.15,4.6
195,20,46,35.84,marsaxlokk,295.15,3.1
196,75,74,65.28,norman wells,274.15,7.2
197,90,80,34.64,lompoc,290.62,2.1
198,75,78,22.89,cabo san lucas,302.25,4.1
199,76,89,58.84,nizhniy kuranakh,278.079,2.31
200,92,99,-42.48,castro,284.179,2.56
201,20,73,38.52,ribeira grande,297.15,8.7
202,80,96,7.62,mattru,297.579,1.41
203,68,48,-20.63,ponta do sol,299.879,1.56
204,0,72,-22.95,walvis bay,288.15,2.1
205,40,59,24.32,eldorado,305.15,2.6
206,90,78,34.99,ardmore,295.71,2.1
207,0,95,6.4,fort wellington,301.929,7.71
208,0,81,-11.94,entre rios,298.629,3.86
209,90,93,47.38,cap-aux-meules,285.15,10.8
210,0,93,41.53,barcelos,289.7,3.1
211,68,92,69.7,pevek,278.929,4.06
212,36,97,4.47,langsa,294.479,0.86
213,36,100,54.84,nakskov,285.079,9.06
214,0,94,30.78,lata,281.129,0.76
215,8,40,-2.1,terra santa,307.329,2.11
216,44,100,-16.7,fare,298.079,2.56
217,40,57,36.4,enid,299.1,6.2
218,92,100,-19.55,isangel,294.579,9.16
219,90,72,36.62,pacific grove,288.14,2.1
220,80,96,4.92,yenagoa,297.129,2.06
221,68,90,27.98,basar,291.729,0.76
222,20,57,33.94,alizai,300.15,3.1
223,0,76,43.52,mana,282.15,1.0
224,1,68,35.53,el reno,298.45,7.7
225,20,42,-18.36,corinto,303.529,1.26
226,32,96,70.62,chokurdakh,270.279,3.41
227,0,100,56.12,vikhorevka,275.15,1.11
228,20,60,41.39,arroyo,291.28,4.1
229,0,74,31.41,semirom,278.079,0.96
230,20,24,20.2,tessalit,301.179,3.31
231,0,98,9.49,bandarbeyla,298.579,8.76
232,0,100,22.57,sur,300.929,3.31
233,92,95,66.66,labytnangi,279.429,3.11
234,24,72,57.8,tigil,279.929,4.81
235,0,50,41.38,barcelona,297.15,5.1
236,20,74,9.14,sarh,302.15,2.41
237,20,76,52.09,woodbridge,282.13,2.1
238,8,95,-24.87,bundaberg,294.729,5.36
239,20,66,13.51,santiago nonualco,304.11,3.1
240,75,69,29.76,houston,300.42,3.36
241,68,92,-39.94,waipawa,282.629,3.16
242,90,96,41.28,nantucket,289.49,6.2
243,90,86,70.47,clyde river,271.15,3.6
244,68,97,4.89,takoradi,298.179,3.46
245,100,64,61.94,novoagansk,289.229,6.36
246,32,58,-43.3,rawson,290.579,4.11
247,20,68,-16.99,mareeba,294.15,4.1
248,75,63,39.45,saint george,289.15,4.1
249,40,81,51.03,prokhorovka,285.15,4.0
250,0,58,42.84,hami,277.979,1.61
251,20,100,70.98,honningsvag,274.579,4.21
252,40,58,-8.75,porto velho,302.15,2.1
253,20,94,1.49,manado,295.15,0.61
254,40,68,-20.41,mahebourg,295.15,2.6
255,0,73,47.41,dubovskoye,282.079,2.11
256,75,68,39.45,kingsville,295.42,2.6
257,75,67,54.52,terrace,287.15,7.2
258,75,94,-0.72,port-gentil,299.15,5.1
259,40,94,-12.18,nhulunbuy,293.15,8.81
260,68,34,-17.45,corrente,303.629,1.16
261,20,58,-5.81,natal,302.15,8.2
262,20,94,10.67,mucurapo,298.15,3.1
263,20,75,52.26,rtishchevo,284.379,7.26
264,92,98,-38.31,barrow,289.229,4.61
265,0,70,-45.87,dunedin,282.929,6.11
266,32,89,71.98,khatanga,280.179,6.76
267,0,91,60.37,severo-yeniseyskiy,276.579,2.51
268,75,83,7.04,kloulklubed,300.15,3.6
269,90,86,40.8,eureka,287.61,1.71
270,0,54,-17.17,tucuman,293.929,1.66
271,40,75,35.48,sanford,300.57,1.66
272,12,63,12.88,nguru,300.079,2.66
273,0,89,-22.09,tocopilla,291.129,3.36
274,0,90,60.47,tilichiki,273.029,1.31
275,64,91,39.28,kamaishi,285.929,0.71
276,20,80,20.89,kahului,300.92,5.7
277,20,71,-33.25,mercedes,298.529,5.71
278,20,58,-4.35,kinkala,302.15,1.0
279,36,94,-3.36,nabire,293.829,1.06
280,75,88,36.82,methoni,290.15,3.1
281,88,100,32.12,benghazi,297.729,18.76
282,92,99,16.28,kaset sombun,294.629,1.31
283,0,100,59.24,ossora,276.179,1.11
284,0,100,-2.57,kavieng,301.829,4.26
285,0,88,56.47,kolosovka,280.279,6.61
286,68,100,71.64,tiksi,270.529,2.41
287,36,67,49.63,assiniboia,280.329,3.91
288,0,78,-12.9,boueni,297.15,1.5
289,75,70,16.99,tecoanapa,304.15,2.86
290,20,83,-12.97,pemba,298.15,4.6
291,92,66,60.15,lerwick,282.65,8.7
292,56,70,25.47,guamuchil,305.079,2.11
293,36,25,-17.07,ondjiva,297.329,4.31
294,92,100,63.44,vestmannaeyjar,280.629,12.31
295,40,83,13.22,bathsheba,301.15,9.8
296,75,93,59.56,magadan,284.15,4.0
297,40,83,14.69,dakar,302.15,3.1
298,92,87,62.23,klaksvik,282.15,7.7
299,0,48,-13.23,serenje,291.229,2.31
300,90,66,31.31,alexandria,298.87,1.5
301,68,76,51.4,radom,283.529,5.11
302,64,79,50.24,nakusp,280.829,0.71
303,0,9,24.63,riyadh,305.15,2.6
304,75,94,6.63,sadao,298.6,1.5
305,0,87,-8.93,airai,288.829,0.86
306,75,100,71.0,havoysund,274.15,5.1
307,0,42,46.42,saint-francois,292.15,6.2
308,40,88,-2.14,kibungo,291.15,3.1
309,88,76,63.05,myaundzha,267.379,5.26
310,92,98,16.97,si bun ruang,294.829,1.41
311,8,83,8.53,dembi dolo,290.579,1.46
312,12,94,25.02,umm lajj,301.179,0.46
313,0,62,-35.1,kaeo,286.229,1.61
314,90,77,43.64,lebanon,288.2,3.1
315,88,97,22.48,lao cai,291.679,0.71
316,0,100,-2.02,lorengau,301.329,4.21
317,75,82,35.37,izumo,291.15,3.1
318,40,100,62.91,bud,280.81,7.2
319,0,81,44.57,hailin,275.629,1.26
320,75,73,-19.06,alofi,297.15,5.7
321,75,53,-22.19,cervo,298.15,1.5
322,75,69,-21.64,sao joao da barra,299.15,8.2
323,0,14,-16.73,montes claros,309.15,2.1
324,8,77,-5.2,touros,299.579,6.76
325,44,90,67.55,verkhoyansk,266.429,1.16
326,12,98,12.22,alugan,299.679,3.66
327,0,72,26.0,turbat,295.479,0.76
328,40,69,68.82,qasigiannguit,275.15,7.7
329,90,74,33.27,magnolia,293.31,1.56
330,0,54,38.44,baherden,289.379,1.96
331,0,76,38.51,dingzhou,287.15,1.0
332,8,66,51.35,weston-super-mare,283.39,3.1
333,75,88,-21.23,barbacena,292.15,3.1
334,75,100,50.7,port hardy,284.15,2.1
335,92,99,22.76,simao,291.029,0.81
336,0,63,45.18,vila,290.67,1.5
337,0,86,64.73,anadyr,278.15,10.0
338,12,93,8.84,igboho,296.829,3.01
339,44,94,1.24,sri aman,298.15,1.21
340,92,100,61.92,evensk,276.979,5.86
341,0,24,18.39,faya,295.66,5.1
342,0,17,30.29,kerman,290.15,2.1
343,0,19,37.85,bismil,296.65,1.0
344,0,89,21.64,porbandar,297.979,3.76
345,20,61,50.83,stadtallendorf,281.38,2.1
346,0,96,-22.12,henties bay,286.829,0.61
347,0,46,-13.53,jaguaquara,300.429,4.21
348,0,86,51.5,novorudnyy,278.15,5.0
349,90,75,50.2,sept-iles,281.15,7.7
350,20,60,37.78,beckley,293.63,1.36
351,0,74,62.78,sola,276.15,5.1
352,92,100,25.6,dali,286.679,0.71
353,0,60,38.48,yinchuan,275.729,2.41
354,40,52,60.91,narsaq,279.15,8.7
355,12,76,16.52,benemerito de las americas,302.629,1.46
356,0,74,36.14,abhar,279.729,1.56
357,32,86,45.55,mishan,279.779,2.21
358,36,100,-2.67,vanimo,301.679,2.46
359,20,73,36.27,medea,294.15,2.1
360,0,29,30.17,benjamin hill,308.279,1.96
361,0,71,52.04,aksu,287.15,8.0
362,0,100,13.32,san andres,301.429,6.81
363,0,14,-21.98,okahandja,297.15,3.1
364,0,76,50.1,vysokogornyy,272.479,1.31
365,20,70,12.52,oranjestad,304.15,6.2
366,20,57,-29.41,la rioja,300.679,1.86
367,0,100,-15.19,namibe,293.329,2.91
368,68,92,-40.02,takapau,282.629,3.16
369,32,90,20.45,thai binh,295.979,4.36
370,36,95,56.76,sovetskiy,283.729,8.81
371,32,58,-43.25,trelew,290.579,4.11
372,12,73,13.79,nioro,300.979,5.11
373,88,86,68.05,ostrovnoy,276.429,8.96
374,68,86,65.95,aykhal,272.829,1.16
375,40,83,13.07,oistins,301.15,9.8
376,32,45,16.28,gao,302.479,1.21
377,32,94,29.7,tiznit,294.729,2.21
378,88,92,66.94,sisimiut,272.479,2.56
379,92,39,-25.24,yulara,291.15,7.7
380,0,84,53.74,zeya,277.029,1.51
381,20,46,-27.46,punta alta,305.15,4.1
382,0,37,-18.35,hwange,295.729,2.21
383,0,59,47.55,ambon,292.15,5.1
384,92,97,-33.69,chuy,290.079,9.66
385,0,100,4.65,ligayan,300.829,2.16
386,1,100,18.09,cabo rojo,303.15,7.2
387,48,100,16.29,catuday,298.729,1.86
388,8,87,49.6,manzhouli,274.229,3.36
389,20,61,-17.73,tautira,299.15,2.1
390,36,92,62.16,suntar,274.779,1.16
391,90,100,64.39,katunino,279.15,3.0
392,0,89,16.93,kakinada,299.129,1.86
393,88,84,-26.15,lichtenburg,288.329,1.26
394,75,73,-19.8,pangai,298.15,5.1
395,40,40,-0.39,san cristobal,295.15,0.31
396,92,100,62.93,seymchan,273.129,2.96
397,0,71,43.94,biograd na moru,287.15,2.6
398,40,88,18.07,callaguip,299.15,1.0
399,0,50,38.73,kayseri,287.15,1.16
400,92,100,2.04,mogadishu,298.829,6.06
401,90,93,50.23,havre-saint-pierre,281.15,7.2
402,20,93,20.73,balod,295.329,1.61
403,48,38,43.88,rastu,289.15,1.0
404,24,84,-34.0,kruisfontein,289.229,13.41
405,75,94,20.44,mae sai,298.15,2.1
406,0,65,-6.97,cabedelo,301.15,7.2
407,40,52,60.72,qaqortoq,279.15,8.7
408,0,290,-5.09,paita,290.15,5.7
409,1,17,33.37,buckeye,308.56,2.6
410,20,85,-28.95,codrington,290.379,3.31
411,0,42,27.18,asyut,303.15,6.2
412,12,97,15.79,san jose,292.829,0.76
413,20,51,41.06,mola di bari,290.15,1.21
414,75,52,-3.2,altamira,307.15,2.1
415,0,69,56.66,kalmar,277.15,1.5
416,0,72,43.56,saint-joseph,293.49,2.1
417,12,100,0.7,sungairaya,296.129,1.21
418,0,33,29.03,jalu,291.479,4.26
419,75,81,48.95,saint-pierre,286.81,7.7
420,90,74,40.73,garden city,289.33,3.1
421,90,64,35.6,asheville,297.55,3.1
422,12,100,-41.05,burnie,282.229,6.21
423,68,97,43.42,ashibetsu,280.379,1.21
424,90,100,44.65,halifax,291.77,4.1
425,8,94,22.12,monywa,298.829,0.41
426,0,83,29.28,jumla,274.479,1.26
427,48,68,14.44,kayes,302.129,2.96
428,1,36,46.42,lewiston,294.25,2.1
429,92,90,37.68,muramatsu,284.679,1.31
430,0,71,51.04,northam,283.15,2.6
431,56,85,22.88,jashpurnagar,295.179,1.11
432,0,93,5.38,sinnamary,301.579,5.96
433,88,98,-8.15,buala,299.679,2.51
434,75,100,3.17,bintulu,298.15,1.0
435,0,82,44.88,izacic,279.679,1.16
436,1,12,64.84,fairbanks,278.86,4.1
437,20,88,37.72,vila franca do campo,296.15,1.5
438,90,62,15.74,pochutla,302.58,4.1
439,20,60,18.62,coahuayana,301.729,1.16
440,48,100,7.42,kalmunai,296.229,1.51
441,20,92,49.2,zachepylivka,282.779,3.66
442,40,67,39.96,west chester,292.56,2.1
443,0,100,32.31,juegang,293.079,4.46
444,80,100,9.53,boundiali,294.779,1.81
445,92,87,49.49,darhan,274.629,4.21
446,12,89,10.07,asosa,289.679,1.16
447,1,37,32.94,lovington,303.15,4.1
448,92,100,34.7,shimoda,296.629,4.51
449,75,68,36.19,springdale,296.11,1.5
450,1,77,34.88,havelock,303.64,5.1
451,12,100,37.16,rongcheng,288.329,1.86
452,76,73,53.94,mnogovershinnyy,283.129,1.96
453,36,100,7.99,balabac,300.079,4.01
454,0,100,63.18,ostersund,276.15,6.2
455,90,55,38.4,emporia,290.95,5.1
456,0,79,52.93,sheregesh,274.179,0.96
457,75,70,16.86,acapulco,304.15,3.56
458,0,77,41.61,lleida,293.15,1.0
459,0,67,26.7,yavaros,306.979,3.16
460,1,3,43.13,mountain home,296.75,2.1
461,0,48,-2.76,tutoia,304.15,9.8
462,75,66,10.15,nicoya,303.15,6.2
463,40,61,62.58,roald,280.81,8.2
464,0,64,37.63,cartagena,296.83,2.6
465,20,79,53.59,okha,283.529,5.01
466,90,52,23.99,constitucion,294.15,2.1
467,75,42,58.52,high level,280.15,3.1
468,0,30,-31.67,nueve de julio,300.579,5.51
469,40,68,31.63,marrakesh,295.15,4.1
470,0,43,45.6,souillac,295.61,4.6
471,24,85,-7.71,pauini,301.929,2.56
472,92,94,67.55,komsomolskiy,275.429,2.96
473,20,75,55.84,eslov,280.56,0.5
474,0,89,57.96,ust-ilimsk,274.329,1.11
475,0,49,27.97,guerrero negro,302.529,4.21
476,90,100,47.66,torbay,284.76,4.6
477,40,89,22.72,satkhira,302.15,1.5
478,0,40,13.6,umm kaddadah,300.229,3.21
479,0,31,18.44,kidal,300.479,3.06
480,20,66,-5.81,manicore,305.15,1.5
481,75,71,43.11,oconomowoc,284.09,4.1
482,20,56,5.2,miraflores,292.479,0.96
483,0,72,51.41,chemal,276.679,1.61
484,36,50,-29.46,moree,291.579,3.81
485,0,100,54.83,shumskiy,269.729,1.41
486,12,92,-21.83,ambalavao,287.229,2.26
487,56,97,21.46,cockburn town,301.929,6.36
488,0,72,41.93,ajaccio,290.37,2.6
489,0,80,32.65,shiyan,281.229,0.96
490,48,95,47.51,nianzishan,282.579,3.46
491,68,94,-26.2,gympie,289.479,2.41
492,75,83,6.35,kota belud,298.15,2.6
493,0,66,48.94,saint-denis,286.44,3.6
494,56,32,-23.67,ellisras,297.679,3.51
495,90,49,38.65,harrisonville,292.29,4.1
496,0,62,4.94,cayenne,305.15,6.2
497,0,290,-4.58,talara,290.15,5.7
498,36,87,-1.53,muana,301.479,5.11
499,0,76,50.12,penzance,284.67,4.1
500,90,80,63.83,hovd,278.67,9.3
501,48,100,4.14,meulaboh,299.129,2.66
502,1,56,38.25,galt,295.23,4.1
503,12,74,51.1,derzhavinsk,278.729,4.06
504,75,70,-3.77,puerto narino,304.15,1.0
505,76,76,53.27,mago,282.379,2.26
506,40,66,15.42,correderos,304.68,4.1
